Division;Ponderacion;Glosa;Indice;Variación Mensual;Variación Acumulada;Variacion a 12 meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 meses
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.20255;ARROZ;106.38;-0.3;6.1;-;-0.001;0.012;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09708;HARINA;106.39;0.3;4.8;-;0;0.005;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.18699;CEREAL;103.92;-0.3;1.9;-;0;0.003;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;2.09319;PAN;106.09;0.1;5;-;0.003;0.104;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.36509;GALLETA;110.95;1.5;7.1;-;0.006;0.026;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.52671;PRODUCTOS DE REPOSTERÍA;109.52;4.7;8.3;-;0.025;0.043;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.0803;MASAS SALADAS PREPARADAS;104.02;1;2;-;0.001;0.002;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07019;SNACK;109.18;0.9;4.6;-;0.001;0.003;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.28993;PASTAS;109.11;0.9;10.1;-;0.003;0.028;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;1.71291;CARNE DE VACUNO;105.4;1.5;4.6;-;0.026;0.079;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.47526;CARNE DE CERDO;123.65;10.7;16.4;-;0.054;0.082;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.10209;CARNE DE PAVO;122.12;10.4;25.3;-;0.011;0.025;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.96033;CARNE DE POLLO;111.02;1.9;6.2;-;0.019;0.061;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;1.03909;CECINAS;112.28;2.9;11.8;-;0.031;0.122;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09243;HAMBURGUESA;99.55;-1.5;-1.4;-;-0.001;-0.001;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.25941;PESCADOS;111.86;-0.4;6;-;-0.001;0.016;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.08985;MARISCOS;122.67;1.7;19.7;-;0.002;0.018;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.18753;PESCADOS EN CONSERVA;109.97;-0.4;7.6;-;-0.001;0.014;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.03186;MARISCOS EN CONSERVA;115.16;1.8;10.6;-;0.001;0.003;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.20152;LECHE EN POLVO;110.12;0.7;7.9;-;0.001;0.016;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.48949;LECHE LÍQUIDA;110.03;-1;7.7;-;-0.005;0.038;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.06545;LECHE CONSERVADA;115.16;0.2;12.3;-;0;0.008;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.41984;YOGHURT;107.08;0.6;4.2;-;0.003;0.018;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.06563;POSTRES LÁCTEOS;107.07;-0.3;7.1;-;0;0.005;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.74586;QUESO;109.45;0.9;3.2;-;0.007;0.025;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.33391;HUEVOS;110.98;1.6;6.3;-;0.006;0.022;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12314;MANTEQUILLA;115.08;0.8;9.5;-;0.001;0.012;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.11859;MARGARINA;105.78;0.8;3.1;-;0.001;0.004;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.3455;ACEITE VEGETAL;102.41;-2.5;3.1;-;-0.009;0.01;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09812;MANZANA;99.7;5.7;-11.7;-;0.005;-0.013;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09246;NARANJA;118.09;2.3;11.1;-;0.002;0.011;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.03001;PERA;106.95;-0.2;-7.7;-;0;-0.003;-
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12176;PLÁTANO;117.46;12.1;6.1;-;0.015;0.008;-
